Binomial,n
Schistosoma mansoni,89
Wuchereria bancrofti,76
Schistosoma haematobium,67
hookworm,58
Ascaris lumbricoides,45
Trichuris trichiura,41
Schistosoma japonicum,38
Onchocerca volvulus,37
Fasciola hepatica,36
schistosomiasis,23
soil-transmitted helminths,23
Loa loa,18
Taenia solium,17
Echinococcus mutilocularis,14
Dirofilaria immitis,12
LF,11
Echinococcus granulosus,10
Opisthorchis viverrini,9
Taenia saginata,8
Dirofilaria repens,6
Necator americanus,6
Dracunculus medinensis,5
Fasciola gigantica,5
Brugia malayi,4
intestinal helminths,4
Mansonella perstans,4
Angiostrongylus cantonensis,3
Clonorchis sinensis,3
Schistosoma guineensis,3
Strongyloides stercoralis,3
Toxocara cati,3
Dicrocoelium dendriticum,2
Hymenolepis nana,2
Mansonella ozzardi,2
Opisthorchis felineus,2
Schistosoma intercalatum,2
Schistosoma mekongi,2
Taenia asiatica,2
Thelazia callipaeda,2
trematodes,2
Trichinella britovi,2
Anisakis pegreffi,1
Anisakis physeteris,1
dirofilariosis,1
Echinostoma revolutum,1
Fasciolopsis buski,1
Hymenolepis diminuta,1
Mansonella streptocerca,1
Oesophagostomum bifurcum,1
Onchocerciasis,1
Paragonimus skrjabini miyazakii,1
Paragonimus westermani,1
Schistosoma malayensis,1
Taenia spp.,1
Trachoma,1
Trichuris Trichiura,1
